date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:17	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%22684e-5d9bfb59bbe69%22	https://www.niagaweb.co.id/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=5.0.10	D:/WEBSITE/WEB%20PARTNER/www.niagaweb.co.id/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.minc9d0.css	(from https://www.niagaweb.co.id/)
11:24:18	5532/5532	---MCZ	200	added ('OK')	text/css	etag:W/%22159c-5cad069c37c2e%22	https://www.niagaweb.co.id/wp-content/tablepress-combined.min.css?ver=10	D:/WEBSITE/WEB%20PARTNER/www.niagaweb.co.id/wp-content/tablepress-combined.min840f.css	(from https://www.niagaweb.co.id/)
11:24:18	87940/87940	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Jan%202022%2022:15:08%20GMT	https://c0.wp.com/p/jetpack/10.7/css/jetpack.css	D:/WEBSITE/WEB%20PARTNER/c0.wp.com/p/jetpack/10.7/css/jetpack.css	(from https://www.niagaweb.co.id/)
11:24:18	89521/89521	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2010%20Mar%202021%2015:07:24%20GMT	https://c0.wp.com/c/5.8/wp-includes/js/jquery/jquery.min.js	D:/WEBSITE/WEB%20PARTNER/c0.wp.com/c/5.8/wp-includes/js/jquery/jquery.min.js	(from https://www.niagaweb.co.id/)
11:24:18	11224/11224	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2009:06:06%20GMT	https://c0.wp.com/c/5.8/wp-includes/js/jquery/jquery-migrate.min.js	D:/WEBSITE/WEB%20PARTNER/c0.wp.com/c/5.8/wp-includes/js/jquery/jquery-migrate.min.js	(from https://www.niagaweb.co.id/)
11:24:19	2702/2702	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a8e-59c115500e0b2%22	https://www.niagaweb.co.id/wp-content/plugins/sticky-side-buttons/assets/js/ssb-ui-js.js?ver=5.8	D:/WEBSITE/WEB%20PARTNER/www.niagaweb.co.id/wp-content/plugins/sticky-side-buttons/assets/js/ssb-ui-js41a3.js	(from https://www.niagaweb.co.id/)
11:24:19	15055/15055	---MCZ	200	added ('OK')	application/javascript	etag:W/%223acf-5d9bfb59bce09%22	https://www.niagaweb.co.id/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js?ver=5.0.10	D:/WEBSITE/WEB%20PARTNER/www.niagaweb.co.id/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.minc9d0.js	(from https://www.niagaweb.co.id/)
11:24:21	227912/227912	---MCZ	200	added ('OK')	application/json	date:Sat,%2009%20Apr%202022%2004:24:20%20GMT	https://www.niagaweb.co.id/wp-json/	D:/WEBSITE/WEB%20PARTNER/www.niagaweb.co.id/wp-json/index.html	(from https://www.niagaweb.co.id/)
11:24:21	168807/168807	---MCZ	200	added ('OK')	application/json	date:Sat,%2009%20Apr%202022%2004:24:21%20GMT	https://www.niagaweb.co.id/wp-json/wp/v2/pages/3233	D:/WEBSITE/WEB%20PARTNER/www.niagaweb.co.id/wp-json/wp/v2/pages/3233.json	(from https://www.niagaweb.co.id/)
11:24:22	822/822	---MCZ	200	added ('OK')	text/xml	date:Sat,%2009%20Apr%202022%2004:24:22%20GMT	https://www.niagaweb.co.id/xmlrpc.php?rsd	D:/WEBSITE/WEB%20PARTNER/www.niagaweb.co.id/xmlrpc0db0.php	(from https://www.niagaweb.co.id/)
11:24:22	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%22415-591ccd6dfce08%22	https://www.niagaweb.co.id/wp-includes/wlwmanifest.xml	D:/WEBSITE/WEB%20PARTNER/www.niagaweb.co.id/wp-includes/wlwmanifest.xml	(from https://www.niagaweb.co.id/)
